,symbol,unknown_0,unknown_1,unknown_2,min_order_size,max_order_size,unknown_5,unknown_6,unknown_7,initial_margin,maintenance_margin,unknown_10,unknown_11,pf_locator
190,WBTUSD,,,,0.00004,10.0,,,,,,,,tWBTUSD
191,WHBT:USD,,,,0.2,12500.0,,,,,,,,tWHBT:USD
192,WHBT:UST,,,,0.2,12500.0,,,,,,,,tWHBT:UST
193,XAUT:BTC,,,,0.002,400.0,,,,0.2,0.1,,,tXAUT:BTC
194,XAUT:USD,,,,0.002,400.0,,,,0.2,0.1,,,tXAUT:USD
195,XAUT:UST,,,,0.002,400.0,,,,0.2,0.1,,,tXAUT:UST
196,XDCUSD,,,,54.0,1000000.0,,,,,,,,tXDCUSD
197,XDCUST,,,,54.0,1000000.0,,,,,,,,tXDCUST
198,XLMBTC,,,,14.0,1000000.0,,,,0.5,0.25,,,tXLMBTC
199,XLMUSD,,,,14.0,1000000.0,,,,0.5,0.25,,,tXLMUSD
200,XLMUST,,,,14.0,1000000.0,,,,0.5,0.25,,,tXLMUST
201,XMRBTC,,,,0.02,5000.0,,,,0.3,0.15,,,tXMRBTC
202,XMRUSD,,,,0.02,5000.0,,,,0.3,0.15,,,tXMRUSD
203,XMRUST,,,,0.02,5000.0,,,,0.3,0.15,,,tXMRUST
204,XPLUSD,,,,0.001,70000.0,,,,,,,,tXPLUSD
205,XPLUST,,,,0.001,70000.0,,,,,,,,tXPLUST
206,XRPBTC,,,,4.0,2000000.0,,,,0.2,0.1,,,tXRPBTC
207,XRPUSD,,,,4.0,2000000.0,,,,0.2,0.1,,,tXRPUSD
208,XRPUST,,,,4.0,2000000.0,,,,0.3,0.15,,,tXRPUST
209,ZECBTC,,,,0.004,100.0,,,,0.3,0.15,,,tZECBTC
210,ZECUSD,,,,0.004,100.0,,,,0.3,0.15,,,tZECUSD
211,ZECUST,,,,0.004,100.0,,,,,,,,tZECUST
212,ZROUSD,,,,0.001,10000.0,,,,,,,,tZROUSD
213,ZROUST,,,,0.001,10000.0,,,,,,,,tZROUST
