,symbol,base,quote,status,qty_precision,qty_increment,price_precision,cost_precision,marginable,has_index,ws_display_price_precision,cost_min,tick_size,price_increment,qty_min,margin_initial,position_limit_long,position_limit_short
1253,KGEN/EUR,KGEN,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,30.0,,,
1254,RHEA/USD,RHEA,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,420.0,,,
1255,RHEA/EUR,RHEA,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,420.0,,,
1256,VFY/USD,VFY,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,570.0,,,
1257,VFY/EUR,VFY,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,570.0,,,
1258,YALA/USD,YALA,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,8200.0,,,
1259,YALA/EUR,YALA,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,8200.0,,,
1260,ZBT/USD,ZBT,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,50.0,,,
1261,ZBT/EUR,ZBT,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,50.0,,,
1262,U2U/USD,U2U,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,3200.0,,,
1263,ENSO/USD,ENSO,USD,online,5,1e-05,3,5,False,False,3,0.5,0.001,0.001,5.0,,,
1264,ENSO/EUR,ENSO,EUR,online,5,1e-05,3,5,False,False,3,0.45,0.001,0.001,5.0,,,
1265,SIDEKICK/USD,SIDEKICK,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,9900.0,,,
1266,SIDEKICK/EUR,SIDEKICK,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,9900.0,,,
1267,MYX/EUR,MYX,EUR,online,5,1e-05,3,5,False,False,3,0.45,0.001,0.001,25.0,,,
1268,ANIME/USD,ANIME,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,1100.0,,,
