,product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description,best_bid_price,best_ask_price
56,BLUR-USDC,0.0338,29.50191570881226,108706969.6,1136.4320333381669,0.1,0.0001,1,10000000,0.1,17572100,Blur,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,BLUR,,,BLUR-USD,[],BLUR,USD,False,0.0001,BLUR-USDC,CBE,3674295.57,2023-01-01T00:00:00Z,,,,,,,,False,,,
57,BLUR-USD,0.0338,29.50191570881226,107970779.4,1134.33337813194543,0.1,0.0001,1,10000000,0.1,17572100,Blur,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,BLUR,,,,['BLUR-USDC'],BLUR,USD,False,0.0001,BLUR-USD,CBE,3649412.34,2023-01-01T00:00:00Z,,,,,,,,False,,,
58,EURC-USDC,1.175,-0.11900714042843,3054270,-26.93076285052011,1,0.0001,2,10000000,1,8944543.8282647584973166,EURC,USDC,False,False,False,online,False,True,False,False,False,SPOT,USDC,EURC,,,,[],EURC,USDC,False,0.0001,EURC-USDC,CBE,3588767.25,2024-08-20T16:19:00.044Z,,,,,,,,False,,,
59,USDS-USD,0.9999,0,3505736.46,58.66580198618806,0.01,0.0001,1,10000000,0.01,10013054.3567643050871581,USDS,US Dollar,False,False,False,online,False,True,False,False,False,SPOT,USD,USDS,,,,['USDS-USDC'],USDS,USD,False,0.0001,USDS-USD,CBE,3505385.89,2025-07-09T19:48:00.023Z,,,,,,,,False,,,
60,ETH-EUR,1973.74,-1.86110572452851,1753.30525073,-38.40953760952944,0.00000001,0.01,1,10000000,0.00000001,6700,Ethereum,Euro,False,False,False,online,False,False,False,False,False,SPOT,EUR,ETH,,,,[],ETH,EUR,False,0.01,ETH-EUR,CBE,3460568.71,2023-01-01T00:00:00Z,,,,,,,,False,,,
61,BTC-USDT,75583.17,-0.55718794153197,44.7486767,-5.60401544438482,0.00000001,0.01,1,10000000,0.00000001,400,Bitcoin,Tether,False,False,False,online,False,False,False,False,False,SPOT,USDT,BTC,,,,[],BTC,USDT,False,0.01,BTC-USDT,CBE,3382246.84,2023-01-01T00:00:00Z,,,,,,,,False,,,
62,HBAR-USD,0.08863,-0.80581980973699,36855919.4,-44.1663389837947,0.1,0.00001,1,10000000,0.1,154273063.0129868607174962,Hedera,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,HBAR,,,,['HBAR-USDC'],HBAR,USD,False,0.00001,HBAR-USD,CBE,3266540.14,2023-01-01T00:00:00Z,,,,,,,,False,,,
63,HBAR-USDC,0.08863,-0.80581980973699,36855906.9,-44.16635792025793,0.1,0.00001,1,10000000,0.1,154273063.0129868607174962,Hedera,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,HBAR,,,HBAR-USD,[],HBAR,USD,False,0.00001,HBAR-USDC,CBE,3266539.03,2023-01-01T00:00:00Z,,,,,,,,False,,,
64,IP-USD,0.512,-7.74774774774775,6282854.08,-12.40097411542591,0.01,0.001,1,10000000,0.01,5495882.1583353731827522,Story,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,IP,,,,['IP-USDC'],IP,USD,False,0.001,IP-USD,CBE,3216821.29,2025-02-13T13:31:00.021Z,,,,,,,,False,,,
65,IP-USDC,0.512,-7.74774774774775,6282854.08,-12.40097411542591,0.01,0.001,1,10000000,0.01,5495882.1583353731827522,Story,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,IP,,,IP-USD,[],IP,USD,False,0.001,IP-USDC,CBE,3216821.29,2025-02-13T13:31:00.021Z,,,,,,,,False,,,
66,NEAR-USD,1.361,-0.87399854333576,2174487.339,14.87076574277696,0.001,0.001,1,10000000,0.001,5280000,NEAR Protocol,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,NEAR,,,,['NEAR-USDC'],NEAR,USD,False,0.001,NEAR-USD,CBE,2959477.27,2023-01-01T00:00:00Z,,,,,,,,False,,,
67,NEAR-USDC,1.362,-0.80116533139111,2166742.437,14.46162892814189,0.001,0.001,1,10000000,0.001,5280000,NEAR Protocol,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,NEAR,,,NEAR-USD,[],NEAR,USD,False,0.001,NEAR-USDC,CBE,2951103.2,2023-01-01T00:00:00Z,,,,,,,,False,,,
68,BIO-USD,0.02854,6.01783060921248,102640984.2,17.10148804228035,0.1,0.00001,1,10000000,0.1,133671092.4874363276705696,Bio Protocol,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,BIO,,,,['BIO-USDC'],BIO,USD,False,0.00001,BIO-USD,CBE,2929373.69,2025-07-30T16:32:00.026Z,,,,,,,,False,,,
69,BIO-USDC,0.02854,6.01783060921248,102640984.2,17.10148804228035,0.1,0.00001,1,10000000,0.1,133671092.4874363276705696,Bio Protocol,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,BIO,,,BIO-USD,[],BIO,USD,False,0.00001,BIO-USDC,CBE,2929373.69,2025-07-30T16:32:00.026Z,,,,,,,,False,,,
