my_fi_name,price_screen_bid,price_screen_ask,time
FBTC,56.54,56.73,2026-07-23_18-41-40
GBTC,50.42,50.5,2026-07-23_18-41-40
HODL,18.4,18.45,2026-07-23_18-41-40
IBIT,36.88,36.91,2026-07-23_18-41-40
ARKB,21.52,21.64,2026-07-23_19-46-36
BITB,35.3,35.36,2026-07-23_19-46-36
BRRR,18.3,18.42,2026-07-23_19-46-36
BTC,28.65,28.83,2026-07-23_19-46-36
BTCW,68.46,69.09,2026-07-23_19-46-36
EZBC,37.46,37.73,2026-07-23_19-46-36
FBTC,56.6,56.73,2026-07-23_19-46-36
GBTC,50.4,50.5,2026-07-23_19-46-36
HODL,18.33,18.45,2026-07-23_19-46-36
IBIT,36.86,36.89,2026-07-23_19-46-36
ARKB,21.52,21.64,2026-07-23_19-49-53
BITB,35.3,35.35,2026-07-23_19-49-53
BRRR,18.3,18.42,2026-07-23_19-49-53
BTC,28.65,28.83,2026-07-23_19-49-53
BTCW,68.46,69.09,2026-07-23_19-49-53
EZBC,37.46,37.73,2026-07-23_19-49-53
FBTC,56.56,56.73,2026-07-23_19-49-53
GBTC,50.4,50.49,2026-07-23_19-49-53
HODL,18.33,18.45,2026-07-23_19-49-53
IBIT,36.85,36.88,2026-07-23_19-49-53
ARKB,21.48,21.61,2026-07-23_20-04-53
BITB,35.17,35.37,2026-07-23_20-04-53
BRRR,18.24,18.42,2026-07-23_20-04-53
BTC,28.62,28.86,2026-07-23_20-04-53
BTCW,68.34,69.01,2026-07-23_20-04-53
EZBC,37.21,37.93,2026-07-23_20-04-53
FBTC,56.38,56.69,2026-07-23_20-04-53
GBTC,50.21,50.49,2026-07-23_20-04-53
HODL,18.31,18.47,2026-07-23_20-04-53
IBIT,36.77,36.84,2026-07-23_20-04-53
ARKB,21.48,21.6,2026-07-23_20-06-54
BITB,35.16,35.36,2026-07-23_20-06-54
BRRR,,,2026-07-23_20-06-54
BTC,,,2026-07-23_20-06-54
BTCW,68.24,68.94,2026-07-23_20-06-54
EZBC,,,2026-07-23_20-06-54
FBTC,56.36,56.67,2026-07-23_20-06-54
GBTC,50.19,50.47,2026-07-23_20-06-54
HODL,,,2026-07-23_20-06-54
IBIT,36.79,36.83,2026-07-23_20-06-54
ARKB,21.46,21.58,2026-07-23_20-21-54
BITB,35.12,35.32,2026-07-23_20-21-54
BRRR,18.23,18.38,2026-07-23_20-21-54
BTC,28.61,28.8,2026-07-23_20-21-54
BTCW,68.24,68.87,2026-07-23_20-21-54
EZBC,,,2026-07-23_20-21-54
FBTC,56.31,56.62,2026-07-23_20-21-54
GBTC,50.14,50.34,2026-07-23_20-21-54
HODL,18.3,18.43,2026-07-23_20-21-54
IBIT,36.74,36.78,2026-07-23_20-21-54
ARKB,21.44,21.57,2026-07-23_20-36-54
BITB,35.1,35.3,2026-07-23_20-36-54
BRRR,18.18,18.35,2026-07-23_20-36-54
BTC,28.53,28.76,2026-07-23_20-36-54
BTCW,68.24,68.75,2026-07-23_20-36-54
EZBC,37.21,37.77,2026-07-23_20-36-54
FBTC,56.26,56.58,2026-07-23_20-36-54
GBTC,50.1,50.25,2026-07-23_20-36-54
HODL,18.25,18.39,2026-07-23_20-36-54
IBIT,36.72,36.74,2026-07-23_20-36-54
ARKB,21.46,21.57,2026-07-23_20-51-54
BITB,35.13,35.33,2026-07-23_20-51-54
BRRR,18.2,18.35,2026-07-23_20-51-54
BTC,28.55,28.74,2026-07-23_20-51-54
BTCW,68.24,68.73,2026-07-23_20-51-54
EZBC,37.21,37.77,2026-07-23_20-51-54
FBTC,56.32,56.63,2026-07-23_20-51-54
GBTC,50.15,50.32,2026-07-23_20-51-54
HODL,18.27,18.39,2026-07-23_20-51-54
IBIT,36.75,36.77,2026-07-23_20-51-54
ARKB,21.55,21.59,2026-07-23_21-06-54
BITB,35.21,35.41,2026-07-23_21-06-54
BRRR,18.25,18.42,2026-07-23_21-06-54
BTC,28.66,28.92,2026-07-23_21-06-54
BTCW,68.36,68.93,2026-07-23_21-06-54
EZBC,37.21,37.77,2026-07-23_21-06-54
FBTC,56.44,56.76,2026-07-23_21-06-54
GBTC,50.27,50.48,2026-07-23_21-06-54
HODL,18.31,18.48,2026-07-23_21-06-54
IBIT,36.83,36.86,2026-07-23_21-06-54
ARKB,21.52,21.56,2026-07-23_21-21-54
BITB,35.15,35.35,2026-07-23_21-21-54
BRRR,18.25,18.41,2026-07-23_21-21-54
BTC,28.66,28.85,2026-07-23_21-21-54
BTCW,68.36,68.93,2026-07-23_21-21-54
EZBC,37.21,37.77,2026-07-23_21-21-54
FBTC,56.35,56.67,2026-07-23_21-21-54
GBTC,50.18,50.46,2026-07-23_21-21-54
HODL,18.31,18.46,2026-07-23_21-21-54
IBIT,36.77,36.8,2026-07-23_21-21-54
ARKB,21.57,21.6,2026-07-23_21-36-54
BITB,35.22,35.42,2026-07-23_21-36-54
BRRR,18.25,18.41,2026-07-23_21-36-54
BTC,28.66,28.84,2026-07-23_21-36-54
BTCW,68.37,68.93,2026-07-23_21-36-54
EZBC,37.21,37.77,2026-07-23_21-36-54
FBTC,56.46,56.78,2026-07-23_21-36-54
GBTC,50.28,50.48,2026-07-23_21-36-54
HODL,18.31,18.46,2026-07-23_21-36-54
IBIT,36.84,36.88,2026-07-23_21-36-54
ARKB,21.55,21.59,2026-07-23_21-51-54
BITB,35.2,35.4,2026-07-23_21-51-54
BRRR,18.26,18.41,2026-07-23_21-51-54
BTC,28.66,28.84,2026-07-23_21-51-54
BTCW,68.4,68.93,2026-07-23_21-51-54
EZBC,37.21,37.77,2026-07-23_21-51-54
FBTC,56.43,56.74,2026-07-23_21-51-54
GBTC,50.25,50.49,2026-07-23_21-51-54
HODL,18.33,18.46,2026-07-23_21-51-54
IBIT,36.82,36.85,2026-07-23_21-51-54
ARKB,21.55,21.59,2026-07-23_22-06-54
BITB,35.2,35.39,2026-07-23_22-06-54
BRRR,18.26,18.41,2026-07-23_22-06-54
BTC,28.66,28.84,2026-07-23_22-06-54
BTCW,68.4,68.93,2026-07-23_22-06-54
EZBC,37.21,37.77,2026-07-23_22-06-54
FBTC,56.43,56.74,2026-07-23_22-06-54
GBTC,50.25,50.49,2026-07-23_22-06-54
HODL,18.33,18.46,2026-07-23_22-06-54
IBIT,36.82,36.85,2026-07-23_22-06-54
ARKB,21.56,21.59,2026-07-23_22-21-54
BITB,35.2,35.41,2026-07-23_22-21-54
BRRR,18.23,18.44,2026-07-23_22-21-54
BTC,28.66,28.84,2026-07-23_22-21-54
BTCW,68.32,68.93,2026-07-23_22-21-54
EZBC,37.21,37.93,2026-07-23_22-21-54
FBTC,56.44,56.75,2026-07-23_22-21-54
GBTC,50.26,50.5,2026-07-23_22-21-54
HODL,18.33,18.46,2026-07-23_22-21-54
IBIT,36.82,36.85,2026-07-23_22-21-54
ARKB,21.5,21.54,2026-07-23_22-36-54
BITB,35.11,35.31,2026-07-23_22-36-54
BRRR,18.19,18.4,2026-07-23_22-36-54
BTC,28.54,28.82,2026-07-23_22-36-54
BTCW,68.18,68.93,2026-07-23_22-36-54
EZBC,37.21,37.93,2026-07-23_22-36-54
FBTC,56.29,56.6,2026-07-23_22-36-54
GBTC,50.21,50.41,2026-07-23_22-36-54
HODL,18.28,18.44,2026-07-23_22-36-54
IBIT,36.74,36.77,2026-07-23_22-36-54
ARKB,21.53,21.56,2026-07-23_22-51-54
BITB,35.15,35.35,2026-07-23_22-51-54
BRRR,18.21,18.42,2026-07-23_22-51-54
BTC,28.56,28.82,2026-07-23_22-51-54
BTCW,68.23,68.93,2026-07-23_22-51-54
EZBC,37.21,37.93,2026-07-23_22-51-54
FBTC,56.36,56.67,2026-07-23_22-51-54
GBTC,50.21,50.47,2026-07-23_22-51-54
HODL,18.3,18.44,2026-07-23_22-51-54
IBIT,36.78,36.81,2026-07-23_22-51-54
