date,close,symbol,time
2026-05-12,46.56,EZBC,11:00:00
2026-05-12,46.34,EZBC,11:15:00
2026-05-12,46.42,EZBC,11:30:00
2026-05-12,46.4,EZBC,11:45:00
2026-05-12,46.43,EZBC,12:00:00
2026-05-12,46.38,EZBC,12:15:00
2026-05-12,46.36,EZBC,12:30:00
2026-05-12,46.2,EZBC,12:45:00
2026-05-12,46.34,EZBC,13:00:00
2026-05-12,46.47,EZBC,13:15:00
2026-05-12,46.52,EZBC,13:30:00
2026-05-12,46.52,EZBC,13:45:00
2026-05-12,46.53,EZBC,14:00:00
2026-05-12,46.51,EZBC,14:15:00
2026-05-12,46.61,EZBC,14:30:00
2026-05-12,46.61,EZBC,14:45:00
2026-05-12,46.69,EZBC,15:00:00
2026-05-12,46.63,EZBC,15:15:00
2026-05-12,46.66,EZBC,15:30:00
2026-05-12,46.71,EZBC,15:45:00
2026-05-13,46.12,EZBC,09:30:00
2026-05-13,46.01,EZBC,09:45:00
2026-05-13,46.04,EZBC,10:00:00
2026-05-13,46.12,EZBC,10:15:00
2026-05-13,46.04,EZBC,10:30:00
2026-05-13,46.07,EZBC,10:45:00
2026-05-13,45.87,EZBC,11:00:00
2026-05-13,45.78,EZBC,11:15:00
2026-05-13,45.77,EZBC,11:30:00
2026-05-13,45.51,EZBC,11:45:00
2026-05-13,45.57,EZBC,12:00:00
2026-05-13,45.64,EZBC,12:15:00
2026-05-13,45.69,EZBC,12:30:00
2026-05-13,45.69,EZBC,12:45:00
2026-05-13,45.76,EZBC,13:00:00
2026-05-13,45.82,EZBC,13:15:00
2026-05-13,45.87,EZBC,13:30:00
2026-05-13,45.91,EZBC,13:45:00
2026-05-13,45.98,EZBC,14:00:00
2026-05-13,46.07,EZBC,14:15:00
2026-05-13,46.0,EZBC,14:30:00
2026-05-13,45.97,EZBC,14:45:00
2026-05-13,45.92,EZBC,15:00:00
2026-05-13,45.91,EZBC,15:15:00
2026-05-13,45.92,EZBC,15:30:00
2026-05-13,46.0,EZBC,15:45:00
2026-05-14,46.13,EZBC,09:30:00
2026-05-14,46.04,EZBC,09:45:00
2026-05-14,46.2,EZBC,10:00:00
2026-05-14,46.31,EZBC,10:15:00
2026-05-14,46.43,EZBC,10:30:00
2026-05-14,46.8,EZBC,10:45:00
2026-05-14,46.81,EZBC,11:00:00
2026-05-14,46.82,EZBC,11:15:00
2026-05-14,46.84,EZBC,11:30:00
2026-05-14,47.0,EZBC,11:45:00
2026-05-14,47.15,EZBC,12:00:00
2026-05-14,47.15,EZBC,12:15:00
2026-05-14,47.13,EZBC,12:30:00
2026-05-14,47.36,EZBC,12:45:00
2026-05-14,47.25,EZBC,13:00:00
2026-05-14,47.11,EZBC,13:15:00
2026-05-14,47.2,EZBC,13:30:00
2026-05-14,47.22,EZBC,13:45:00
2026-05-14,47.33,EZBC,14:00:00
2026-05-14,47.33,EZBC,14:15:00
2026-05-14,47.14,EZBC,14:30:00
2026-05-14,47.16,EZBC,14:45:00
2026-05-14,47.15,EZBC,15:00:00
2026-05-14,47.02,EZBC,15:15:00
2026-05-14,47.08,EZBC,15:30:00
2026-05-14,47.07,EZBC,15:45:00
2026-05-15,45.7,EZBC,09:30:00
2026-05-15,45.47,EZBC,09:45:00
2026-05-15,45.76,EZBC,10:00:00
2026-05-15,45.66,EZBC,10:15:00
2026-05-15,45.75,EZBC,10:30:00
2026-05-15,45.72,EZBC,10:45:00
2026-05-15,45.76,EZBC,11:00:00
2026-05-15,45.71,EZBC,11:15:00
2026-05-15,45.68,EZBC,11:30:00
2026-05-15,45.72,EZBC,11:45:00
2026-05-15,45.75,EZBC,12:00:00
2026-05-15,45.81,EZBC,12:15:00
2026-05-15,45.8,EZBC,12:30:00
2026-05-15,45.8,EZBC,12:45:00
2026-05-15,45.79,EZBC,13:00:00
2026-05-15,45.85,EZBC,13:15:00
2026-05-15,45.87,EZBC,13:30:00
2026-05-15,45.9,EZBC,13:45:00
2026-05-15,45.91,EZBC,14:00:00
2026-05-15,45.78,EZBC,14:15:00
2026-05-15,45.8,EZBC,14:30:00
2026-05-15,45.78,EZBC,14:45:00
2026-05-15,45.67,EZBC,15:00:00
2026-05-15,45.69,EZBC,15:15:00
2026-05-15,45.69,EZBC,15:30:00
2026-05-15,45.7,EZBC,15:45:00
2026-05-18,44.36,EZBC,09:30:00
2026-05-18,44.43,EZBC,09:45:00
2026-05-18,44.29,EZBC,10:00:00
2026-05-18,44.26,EZBC,10:15:00
2026-05-18,44.16,EZBC,10:30:00
2026-05-18,44.11,EZBC,10:45:00
2026-05-18,44.03,EZBC,11:00:00
2026-05-18,43.92,EZBC,11:15:00
2026-05-18,44.06,EZBC,11:30:00
2026-05-18,44.11,EZBC,11:45:00
2026-05-18,44.17,EZBC,12:00:00
2026-05-18,44.03,EZBC,12:15:00
2026-05-18,44.14,EZBC,12:30:00
2026-05-18,44.12,EZBC,12:45:00
2026-05-18,44.21,EZBC,13:00:00
2026-05-18,44.28,EZBC,13:15:00
2026-05-18,44.27,EZBC,13:30:00
2026-05-18,44.28,EZBC,13:45:00
2026-05-18,44.14,EZBC,14:00:00
2026-05-18,44.09,EZBC,14:15:00
2026-05-18,44.06,EZBC,14:30:00
2026-05-18,44.03,EZBC,14:45:00
2026-05-18,44.25,EZBC,15:00:00
2026-05-18,44.25,EZBC,15:15:00
2026-05-18,44.39,EZBC,15:30:00
2026-05-18,44.41,EZBC,15:45:00
2026-05-19,44.3,EZBC,09:30:00
2026-05-19,44.38,EZBC,09:45:00
2026-05-19,44.24,EZBC,10:00:00
2026-05-19,44.13,EZBC,10:15:00
2026-05-19,44.14,EZBC,10:30:00
2026-05-19,44.1,EZBC,10:45:00
2026-05-19,44.23,EZBC,11:00:00
2026-05-19,44.17,EZBC,11:15:00
2026-05-19,44.15,EZBC,11:30:00
2026-05-19,44.18,EZBC,11:45:00
2026-05-19,44.15,EZBC,12:00:00
2026-05-19,44.23,EZBC,12:15:00
2026-05-19,44.35,EZBC,12:30:00
2026-05-19,44.41,EZBC,12:45:00
2026-05-19,44.45,EZBC,13:00:00
2026-05-19,44.39,EZBC,13:15:00
2026-05-19,44.42,EZBC,13:30:00
2026-05-19,44.38,EZBC,13:45:00
2026-05-19,44.42,EZBC,14:00:00
2026-05-19,44.34,EZBC,14:15:00
2026-05-19,44.36,EZBC,14:30:00
2026-05-19,44.34,EZBC,14:45:00
2026-05-19,44.5,EZBC,15:00:00
2026-05-19,44.34,EZBC,15:15:00
2026-05-19,44.39,EZBC,15:30:00
2026-05-19,44.36,EZBC,15:45:00
2026-05-20,44.51,EZBC,09:30:00
2026-05-20,44.59,EZBC,09:45:00
2026-05-20,44.52,EZBC,10:00:00
2026-05-20,44.71,EZBC,10:15:00
2026-05-20,44.69,EZBC,10:30:00
2026-05-20,44.72,EZBC,10:45:00
2026-05-20,44.64,EZBC,11:00:00
2026-05-20,44.8,EZBC,11:15:00
2026-05-20,44.73,EZBC,11:30:00
2026-05-20,44.73,EZBC,11:45:00
2026-05-20,44.75,EZBC,12:00:00
2026-05-20,44.51,EZBC,12:15:00
2026-05-20,44.67,EZBC,12:30:00
